Model,Overall,RMSE_val,rank_val,RMSE_test_SR,rank_test_SR,RMSE_test_MAT,rank_test_MAT,composite_rank,R2_val,R2_test_SR,R2_test_MAT,size_MB,train_min
RF,1,26.5860503400579,1,43.71398261585203,1,33.64913463461529,1,1.0,0.9851184255085342,0.9777287214242284,0.9707360655362107,615.0,4
LightGBM,2,26.857001861640253,2,44.68710736300409,2,35.1769193970593,3,2.3333333333333335,0.9830946510923046,0.976221996721,0.9677954138048973,1.710,2
XGBoost,3,28.83,3,45.40,3,36.64,4,3.3333333333333335,0.9800,0.9753,0.9668,0.268,6
GRU,4,36.841168469330576,5,48.688175097152715,4,34.5222119849589,2,3.6666666666666665,0.9722814063386467,0.9713646048364593,0.975082558585297,0.343,20
LSTM,5,36.506468836731905,4,52.396761449438564,5,38.40097677143343,5,4.666666666666667,0.9717315270295692,0.966017012865362,0.9673976726340373,0.434,25
ANN,6,49.926343643180786,6,63.61178789204063,6,46.15677538991304,6,6.0,0.947461511435396,0.9471138141006525,0.9605701225738683,0.176,10
